Membership No  Date Joined  Active  
    44110      2018-4-24    yes   
    81412      2016-6-10    no    
    61203      2020-12-5    no    
    81022      2015-9-6     yes   
    71622      2016-11-11   no    
    79626      2015-9-1     no    
    54523      2016-7-16    no    
    49017      2019-7-23    yes   
    58507      2018-6-9     yes   
    34442      2016-12-3    no    
    93599      2018-5-16    no    
    98946      2016-6-15    yes   
    60678      2019-9-2     yes   
    35850      2018-7-19    no    
    70741      2015-4-17    no    
    44222      2015-9-3     no    
    78294      2016-5-19    no    
    98136      2020-2-3     yes   
    38322      2019-3-9     no    
    25035      2015-1-16    no    
